
Teleport Count,Teleport Time,TeleportPosition_x,TeleportPosition_y,TeleportPosition_z
1,4/25/2023 10:21:24 AM,712.0164,0.42,725.3674
2,4/25/2023 10:21:25 AM,707.0397,0.42,725.8123
3,4/25/2023 10:21:26 AM,702.0468,0.42,726.0286
4,4/25/2023 10:21:26 AM,697.056,0.42,726.257
5,4/25/2023 10:21:27 AM,692.0613,0.42,726.4674
6,4/25/2023 10:21:27 AM,687.0683,0.42,726.6588
7,4/25/2023 10:21:27 AM,682.0749,0.42,726.8189
8,4/25/2023 10:21:28 AM,677.0823,0.42,727.0292
9,4/25/2023 10:21:28 AM,672.0911,0.42,727.2478
10,4/25/2023 10:21:29 AM,667.108,0.42,727.6582
11,4/25/2023 10:21:29 AM,662.1099,0.42,727.6782
12,4/25/2023 10:21:32 AM,662.7047,0.42,722.7171
13,4/25/2023 10:21:33 AM,661.6194,0.42,717.8386
14,4/25/2023 10:21:33 AM,660.6772,0.42,712.9282
15,4/25/2023 10:21:34 AM,659.8968,0.42,707.9913
16,4/25/2023 10:21:34 AM,659.2161,0.42,703.0415
17,4/25/2023 10:21:42 AM,659.9215,0.42,698.0924
18,4/25/2023 10:21:43 AM,660.0769,0.42,693.0975
19,4/25/2023 10:21:43 AM,660.5392,0.42,688.1202
20,4/25/2023 10:21:44 AM,660.9627,0.42,683.1392
21,4/25/2023 10:21:44 AM,660.9619,0.42,678.143
22,4/25/2023 10:21:45 AM,661.2268,0.42,673.1516
23,4/25/2023 10:21:45 AM,661.5445,0.42,668.163
24,4/25/2023 10:21:46 AM,661.8754,0.42,663.1754
25,4/25/2023 10:21:46 AM,662.2941,0.42,658.1956
26,4/25/2023 10:21:47 AM,662.7294,0.42,653.2175
27,4/25/2023 10:21:47 AM,662.988,0.42,648.2251
28,4/25/2023 10:21:47 AM,663.1937,0.42,643.2302
29,4/25/2023 10:21:48 AM,663.4058,0.42,638.2358
30,4/25/2023 10:21:48 AM,663.7047,0.42,633.2486
31,4/25/2023 10:21:48 AM,664.0432,0.42,628.262
32,4/25/2023 10:21:49 AM,664.4455,0.42,623.2791
33,4/25/2023 10:21:49 AM,664.7646,0.42,618.2914
34,4/25/2023 10:21:51 AM,659.7779,0.42,617.9367
35,4/25/2023 10:21:51 AM,654.7864,0.42,617.7079
36,4/25/2023 10:21:51 AM,649.8036,0.42,617.3228
37,4/25/2023 10:21:52 AM,644.8439,0.42,616.7169
38,4/25/2023 10:21:52 AM,639.8714,0.42,616.2009
39,4/25/2023 10:21:52 AM,634.8782,0.42,615.9865
40,4/25/2023 10:21:53 AM,629.8811,0.42,616.061
41,4/25/2023 10:21:53 AM,624.8844,0.42,616.0079
42,4/25/2023 10:21:53 AM,619.8964,0.42,615.7107
43,4/25/2023 10:21:54 AM,614.9088,0.42,615.3667
44,4/25/2023 10:21:54 AM,609.9249,0.42,614.9926
45,4/25/2023 10:21:54 AM,604.9363,0.42,614.7004
46,4/25/2023 10:21:54 AM,599.9494,0.42,614.3904
47,4/25/2023 10:21:55 AM,594.9595,0.42,614.0837
48,4/25/2023 10:21:55 AM,589.9648,0.42,613.8956
49,4/25/2023 10:21:55 AM,584.9684,0.42,613.9323
50,4/25/2023 10:21:55 AM,579.9707,0.42,614.0537
51,4/25/2023 10:21:56 AM,575.0008,0.42,613.5097
