
Teleport Count,Teleport Time,TeleportPosition_x,TeleportPosition_y,TeleportPosition_z
1,4/25/2023 10:28:43 AM,712.0482,0.42,725.6875
2,4/25/2023 10:28:43 AM,707.0513,0.42,725.6248
3,4/25/2023 10:28:44 AM,702.0527,0.42,725.7329
4,4/25/2023 10:28:44 AM,697.0554,0.42,725.8243
5,4/25/2023 10:28:44 AM,692.0577,0.42,725.7943
6,4/25/2023 10:28:44 AM,687.0633,0.42,725.9608
7,4/25/2023 10:28:45 AM,682.0841,0.42,726.3889
8,4/25/2023 10:28:45 AM,677.1013,0.42,726.7938
9,4/25/2023 10:28:45 AM,672.1092,0.42,727.0464
10,4/25/2023 10:28:45 AM,667.1154,0.42,726.8928
11,4/25/2023 10:28:46 AM,662.1335,0.42,726.5022
12,4/25/2023 10:28:54 AM,660.9536,0.42,721.6464
13,4/25/2023 10:28:54 AM,660.4651,0.42,716.6732
14,4/25/2023 10:28:55 AM,660.379,0.42,711.6769
15,4/25/2023 10:28:55 AM,660.4395,0.42,706.6777
16,4/25/2023 10:28:55 AM,660.7623,0.42,701.6917
17,4/25/2023 10:28:56 AM,661.1981,0.42,696.7114
18,4/25/2023 10:28:56 AM,661.5411,0.42,691.7242
19,4/25/2023 10:28:56 AM,661.507,0.42,686.7257
20,4/25/2023 10:28:57 AM,661.2753,0.42,681.7339
21,4/25/2023 10:29:02 AM,661.1451,0.42,676.736
22,4/25/2023 10:29:03 AM,661.4426,0.42,671.7488
23,4/25/2023 10:29:03 AM,661.4103,0.42,666.7491
24,4/25/2023 10:29:03 AM,661.229,0.42,661.7548
25,4/25/2023 10:29:03 AM,661.1535,0.42,656.7568
26,4/25/2023 10:29:04 AM,661.074,0.42,651.7587
27,4/25/2023 10:29:04 AM,661.2213,0.42,646.7648
28,4/25/2023 10:29:04 AM,661.3225,0.42,641.7698
29,4/25/2023 10:29:05 AM,662.0742,0.42,636.8289
30,4/25/2023 10:29:05 AM,663.1793,0.42,631.9567
31,4/25/2023 10:29:05 AM,663.1018,0.42,626.9598
32,4/25/2023 10:29:06 AM,662.949,0.42,621.9656
33,4/25/2023 10:29:06 AM,663.0602,0.42,616.9695
34,4/25/2023 10:29:11 AM,658.1934,0.42,615.8281
35,4/25/2023 10:29:11 AM,653.2216,0.42,615.3204
36,4/25/2023 10:29:11 AM,648.2397,0.42,614.9213
37,4/25/2023 10:29:12 AM,643.2538,0.42,614.5575
38,4/25/2023 10:29:12 AM,638.2651,0.42,614.233
39,4/25/2023 10:29:12 AM,633.2834,0.42,613.8461
40,4/25/2023 10:29:12 AM,628.3101,0.42,613.3601
41,4/25/2023 10:29:12 AM,623.3395,0.42,612.839
42,4/25/2023 10:29:13 AM,618.3719,0.42,612.2956
43,4/25/2023 10:29:13 AM,613.4028,0.42,611.7667
44,4/25/2023 10:29:13 AM,608.4242,0.42,611.3289
45,4/25/2023 10:29:13 AM,603.4408,0.42,610.9248
46,4/25/2023 10:29:14 AM,598.4602,0.42,610.5099
47,4/25/2023 10:29:14 AM,593.4847,0.42,610.0462
48,4/25/2023 10:29:15 AM,588.4881,0.42,610.0908
49,4/25/2023 10:29:15 AM,583.4917,0.42,610.0131
50,4/25/2023 10:29:15 AM,578.5234,0.42,609.4839
51,4/25/2023 10:29:15 AM,573.8041,0.42,607.8401
52,4/25/2023 10:29:16 AM,574.6199,0.42,602.9094
53,4/25/2023 10:29:16 AM,574.7266,0.42,597.9109
54,4/25/2023 10:29:17 AM,571.7599,0.42,593.8862
55,4/25/2023 10:29:18 AM,571.5267,0.42,588.8937
56,4/25/2023 10:29:19 AM,571.0505,0.42,583.9191
57,4/25/2023 10:29:19 AM,571.1634,0.42,578.9215
58,4/25/2023 10:29:19 AM,570.6838,0.42,573.9448
59,4/25/2023 10:29:19 AM,570.5095,0.42,568.9516
60,4/25/2023 10:29:19 AM,570.974,0.42,563.9772
61,4/25/2023 10:29:21 AM,570.8474,0.42,558.9815
62,4/25/2023 10:29:21 AM,570.8485,0.42,553.9838
63,4/25/2023 10:29:21 AM,570.8284,0.42,548.9866
64,4/25/2023 10:29:21 AM,570.5997,0.42,543.9926
65,4/25/2023 10:29:21 AM,570.17,0.42,539.0146
66,4/25/2023 10:29:24 AM,571.1662,0.42,543.9125
67,4/25/2023 10:29:25 AM,571.3321,0.42,548.9067
68,4/25/2023 10:29:25 AM,571.3504,0.42,553.9035
69,4/25/2023 10:29:25 AM,571.2206,0.42,558.9014
70,4/25/2023 10:29:25 AM,570.8763,0.42,563.8877
71,4/25/2023 10:29:26 AM,570.4223,0.42,568.8638
72,4/25/2023 10:29:26 AM,570.2427,0.42,573.8604
73,4/25/2023 10:29:27 AM,569.9938,0.42,578.8542
74,4/25/2023 10:29:27 AM,569.4653,0.42,583.8257
75,4/25/2023 10:29:27 AM,568.6751,0.42,588.7601
76,4/25/2023 10:29:28 AM,568.2327,0.42,593.7379
77,4/25/2023 10:29:28 AM,569.0002,0.42,598.6742
78,4/25/2023 10:29:28 AM,568.7416,0.42,603.6672
79,4/25/2023 10:29:29 AM,567.0292,0.42,608.3624
80,4/25/2023 10:29:34 AM,562.049,0.42,608.7595
81,4/25/2023 10:29:34 AM,557.0923,0.42,609.3952
82,4/25/2023 10:29:34 AM,552.1157,0.42,609.8734
83,4/25/2023 10:29:35 AM,547.1218,0.42,610.0427
84,4/25/2023 10:29:35 AM,542.1254,0.42,609.9446
85,4/25/2023 10:29:35 AM,537.1297,0.42,610.0309
86,4/25/2023 10:29:35 AM,532.1334,0.42,609.9152
87,4/25/2023 10:29:36 AM,527.1356,0.42,609.8287
88,4/25/2023 10:29:36 AM,522.1396,0.42,609.8208
89,4/25/2023 10:29:36 AM,517.1415,0.42,609.7694
90,4/25/2023 10:29:36 AM,512.1428,0.42,609.8581
91,4/25/2023 10:29:37 AM,507.1501,0.42,610.0673
92,4/25/2023 10:29:37 AM,502.1505,0.42,610.1101
93,4/25/2023 10:29:37 AM,497.1559,0.42,610.2796
94,4/25/2023 10:29:37 AM,492.2357,0.42,611.1558
95,4/25/2023 10:29:38 AM,487.554,0.42,612.9063
96,4/25/2023 10:29:38 AM,487.359,0.42,617.9017
97,4/25/2023 10:29:39 AM,487.197,0.42,622.8985
98,4/25/2023 10:29:39 AM,486.8056,0.42,627.879
99,4/25/2023 10:29:39 AM,486.7007,0.42,632.8767
100,4/25/2023 10:29:40 AM,486.8481,0.42,637.874
101,4/25/2023 10:29:40 AM,486.3924,0.42,642.852
102,4/25/2023 10:29:40 AM,485.8094,0.42,647.8177
103,4/25/2023 10:29:40 AM,485.0624,0.42,652.7593
104,4/25/2023 10:29:41 AM,484.7504,0.42,657.7467
105,4/25/2023 10:29:41 AM,484.1596,0.42,662.7079
106,4/25/2023 10:29:41 AM,483.5067,0.42,667.6646
107,4/25/2023 10:29:41 AM,482.4631,0.42,672.5544
108,4/25/2023 10:29:42 AM,481.3124,0.42,677.4178
109,4/25/2023 10:29:42 AM,480.7138,0.42,682.3792
110,4/25/2023 10:29:42 AM,481.1441,0.42,687.3566
111,4/25/2023 10:29:47 AM,481.7922,0.42,692.3112
112,4/25/2023 10:29:47 AM,481.1368,0.42,697.2666
113,4/25/2023 10:29:47 AM,480.1823,0.42,702.1718
114,4/25/2023 10:29:48 AM,479.1568,0.42,707.063
115,4/25/2023 10:29:48 AM,478.5935,0.42,712.029
116,4/25/2023 10:29:48 AM,478.9824,0.42,717.0123
117,4/25/2023 10:29:49 AM,478.9691,0.42,722.0093
118,4/25/2023 10:29:49 AM,477.2887,0.42,726.716
119,4/25/2023 10:30:00 AM,472.36,0.42,725.8749
120,4/25/2023 10:30:00 AM,467.4057,0.42,725.2203
121,4/25/2023 10:30:00 AM,462.4077,0.42,725.1052
122,4/25/2023 10:30:00 AM,457.4596,0.42,725.8109
123,4/25/2023 10:30:01 AM,452.483,0.42,726.2792
124,4/25/2023 10:30:01 AM,447.49,0.42,726.5167
125,4/25/2023 10:30:01 AM,442.4962,0.42,726.729
126,4/25/2023 10:30:01 AM,437.5003,0.42,726.8923
127,4/25/2023 10:30:02 AM,432.5083,0.42,727.1309
128,4/25/2023 10:30:02 AM,427.5131,0.42,727.2842
129,4/25/2023 10:30:02 AM,422.5167,0.42,727.434
130,4/25/2023 10:30:02 AM,417.526,0.42,727.6868
131,4/25/2023 10:30:02 AM,412.5359,0.42,727.994
132,4/25/2023 10:30:03 AM,407.5472,0.42,728.2891
133,4/25/2023 10:30:03 AM,402.5551,0.42,728.5574
134,4/25/2023 10:30:03 AM,397.5573,0.42,728.6487
135,4/25/2023 10:30:03 AM,392.5584,0.42,728.7221
136,4/25/2023 10:30:04 AM,387.5606,0.42,728.6188
137,4/25/2023 10:30:04 AM,382.5629,0.42,728.6738
138,4/25/2023 10:30:06 AM,377.6076,0.42,728.0099
139,4/25/2023 10:30:06 AM,372.6157,0.42,727.7647
140,4/25/2023 10:30:07 AM,367.6319,0.42,728.1522
141,4/25/2023 10:30:07 AM,362.6379,0.42,728.3125
142,4/25/2023 10:30:07 AM,357.6413,0.42,728.2319
143,4/25/2023 10:30:07 AM,352.6443,0.42,728.2848
144,4/25/2023 10:30:08 AM,347.65,0.42,728.4518
145,4/25/2023 10:30:08 AM,342.6542,0.42,728.6153
146,4/25/2023 10:30:08 AM,337.6648,0.42,728.934
147,4/25/2023 10:30:08 AM,332.6885,0.42,729.407
148,4/25/2023 10:30:09 AM,327.7342,0.42,730.0703
149,4/25/2023 10:30:09 AM,322.7404,0.42,730.2945
150,4/25/2023 10:30:09 AM,317.7505,0.42,730.5701
151,4/25/2023 10:30:09 AM,312.7547,0.42,730.7667
152,4/25/2023 10:30:10 AM,307.7598,0.42,730.9625
153,4/25/2023 10:30:10 AM,302.7636,0.42,731.061
154,4/25/2023 10:30:18 AM,300.484,0.42,735.511
155,4/25/2023 10:30:18 AM,297.892,0.42,739.7836
156,4/25/2023 10:30:19 AM,295.2982,0.42,744.0561
157,4/25/2023 10:30:19 AM,292.6493,0.42,748.2947
158,4/25/2023 10:30:19 AM,289.9858,0.42,752.5223
159,4/25/2023 10:30:19 AM,287.2829,0.42,756.7266
160,4/25/2023 10:30:19 AM,284.4927,0.42,760.8728
161,4/25/2023 10:30:20 AM,281.7421,0.42,765.0457
162,4/25/2023 10:30:20 AM,279.3116,0.42,769.4138
163,4/25/2023 10:30:25 AM,278.69,0.42,774.371
164,4/25/2023 10:30:25 AM,278.3512,0.42,779.3568
165,4/25/2023 10:30:25 AM,277.8484,0.42,784.3286
166,4/25/2023 10:30:26 AM,277.494,0.42,789.3135
167,4/25/2023 10:30:26 AM,277.2826,0.42,794.3087
168,4/25/2023 10:30:26 AM,276.3909,0.42,799.2272
169,4/25/2023 10:30:27 AM,275.867,0.42,804.199
170,4/25/2023 10:30:27 AM,274.9573,0.42,809.1125
171,4/25/2023 10:30:28 AM,274.3929,0.42,814.0793
172,4/25/2023 10:30:28 AM,273.5769,0.42,819.0106
173,4/25/2023 10:30:28 AM,272.632,0.42,823.918
174,4/25/2023 10:30:29 AM,271.8943,0.42,828.863
